States,Acres,Quantity,percent changes,drought,DSCI,,,
AL,243820 ,38718245 ,-23.9,0,122,,,
AR,30526 ,6597920 ,,10.56,210,,,
AZ,594773 ,108957355 ,-4.3,84.97,144,,,
CA,94541 ,15521012 ,6.4,31.27,337,,,
CO,1306283 ,185592354 ,-3.9,0,163,,,
CT,5953 ,915125 ,,0,49,,,
DE,187963 ,32743827 ,-10.3,21.88,0,,,
FL,36385 ,5742330 ,,0,85,,,
GA,259315 ,44834066 ,-7.7,11.41,110,,,
HI,4899 ,521944 ,,29.84,123,,,
IA,12969645 ,2583967870 ,-1,23.3,208,,,
ID,143263 ,27925762 ,-4.8,7.26,203,,,
IL,11080510 ,2187782071 ,6.4,0.07,140,,,
IN,5402922 ,980332687 ,-2.1,68.66,208,,,
KS,5232355 ,693862078 ,-17.3,22.79,348,,,
KY,1255146 ,220077862 ,-20.3,0.71,199,,,
LA,488581 ,89938190 ,-9.8,3.36,127,,,
MA,7237 ,1193925 ,,0,87,,,
MD,439538 ,72555726 ,,0,7,,,
ME,2659 ,454403 ,,0,0,,,
MI,2168204 ,344533785 ,-5.7,19.13,64,,,
MN,7790541 ,1494241562 ,7.9,8.89,150,,,
MO,499944 ,94242623 ,-7.7,2.46,131,,,
MS,3365392 ,563873264 ,-3.1,38.93,93,,,
MT,58716 ,5078423 ,,0,204,,,
NC,843969 ,116637072 ,,28.72,75,,,
ND,3276548 ,452800789 ,36.2,85.15,216,,,
NE,9455031 ,1694898568 ,-13.4,0,361,,,
NH,348 ,40312 ,,0,39,,,
NJ,74795 ,11649761 ,,18.42,33,,,
NM,46278 ,6220361 ,,99.51,157,,,
NV,7885 ,1042116 ,,0,332,,,
NY,524481 ,84124924 ,-6.6,0,15,,,
OH,3286205 ,566516083 ,-3.6,85.98,90,,,
OK,301070 ,42705835 ,-18.7,44.64,361,,,
OR,52308 ,11562061 ,,0,227,,,
PA,949375 ,144684352 ,-16,0,0,,,
RI,121 ,10592 ,,0,0,,,
SC,337849 ,44396455 ,-11.5,0,24,,,
SD,5274250 ,768250076 ,-6.7,37.91,242,,,
TN,716733 ,120728158 ,-23.5,7.52,152,,,
TX,2212502 ,286762080 ,-26.6,29.26,167,,,
UT,36219 ,6225791 ,,89.61,328,,,
VA,378073 ,53849390 ,,0,30,,,
VT,8923 ,1182071 ,,0,25,,,
WA,108107 ,24480326 ,0.8,0,117,,,
WI,3074502 ,519334406 ,1.1,1.84,45,,,
WV,35322 ,5255628 ,,0,2,,,
WY,68557 ,9841814 ,,28.59,164,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
