MapDate,State,None,D0,D1,D2,D3,D4
20221206,Alaska,100,0,0,0,0,0
20221129,Alaska,100,0,0,0,0,0
20221122,Alaska,100,0,0,0,0,0
20221115,Alaska,100,0,0,0,0,0
20221108,Alaska,100,0,0,0,0,0
20221101,Alaska,100,0,0,0,0,0
20221025,Alaska,100,0,0,0,0,0
20221018,Alaska,100,0,0,0,0,0
20221011,Alaska,100,0,0,0,0,0
20221004,Alaska,100,0,0,0,0,0
20220927,Alaska,99.25,0.75,0,0,0,0
20220920,Alaska,99.25,0.75,0,0,0,0
20220913,Alaska,99.37,0.63,0,0,0,0
20220906,Alaska,99.37,0.63,0,0,0,0
20220830,Alaska,97.98,2.02,0,0,0,0
20220823,Alaska,97.98,2.02,0,0,0,0
20220816,Alaska,97.25,2.75,0,0,0,0
20220809,Alaska,97.25,2.75,0,0,0,0
20220802,Alaska,94.07,5.93,0.72,0,0,0
20220726,Alaska,79.31,20.69,0.64,0,0,0
20220719,Alaska,63.7,36.3,6.94,0,0,0
20220712,Alaska,56.37,43.63,15.95,1.27,0,0
20220705,Alaska,54.78,45.22,17.9,1.27,0,0
20220628,Alaska,53.84,46.16,15.6,0.67,0,0
20220621,Alaska,54.17,45.83,11.15,0.1,0,0
20220614,Alaska,55.53,44.47,11.79,0.1,0,0
20220607,Alaska,62.85,37.15,1.54,0,0,0
20220531,Alaska,83.98,16.02,0.93,0,0,0
20220524,Alaska,91.24,8.76,0,0,0,0
20220517,Alaska,96.97,3.03,0,0,0,0
20220510,Alaska,96.97,3.03,0,0,0,0
20220503,Alaska,96.97,3.03,0,0,0,0
20220426,Alaska,96.97,3.03,0,0,0,0
20220419,Alaska,100,0,0,0,0,0
20220412,Alaska,100,0,0,0,0,0
20220405,Alaska,100,0,0,0,0,0
20220329,Alaska,100,0,0,0,0,0
20220322,Alaska,100,0,0,0,0,0
20220315,Alaska,100,0,0,0,0,0
20220308,Alaska,100,0,0,0,0,0
20220301,Alaska,100,0,0,0,0,0
20220222,Alaska,100,0,0,0,0,0
20220215,Alaska,100,0,0,0,0,0
20220208,Alaska,100,0,0,0,0,0
20220201,Alaska,100,0,0,0,0,0
20220125,Alaska,100,0,0,0,0,0
20220118,Alaska,100,0,0,0,0,0
20220111,Alaska,100,0,0,0,0,0
20220104,Alaska,100,0,0,0,0,0
20211228,Alaska,100,0,0,0,0,0
20221206,Alabama,16.08,83.92,36.05,1.64,0,0
20221129,Alabama,9.93,90.07,51.63,6.16,0,0
20221122,Alabama,4.32,95.68,48.87,4.87,0,0
20221115,Alabama,11.52,88.48,41.47,4.67,0,0
20221108,Alabama,11.27,88.73,41.55,4.92,0,0
20221101,Alabama,26.62,73.38,30.1,3.64,0,0
20221025,Alabama,22.35,77.65,31.7,8.22,0,0
20221018,Alabama,22.99,77.01,18.41,1.36,0,0
20221011,Alabama,2,98,27.16,0.33,0,0
20221004,Alabama,35.95,64.05,13.73,0,0,0
20220927,Alabama,67.58,32.42,0,0,0,0
20220920,Alabama,93.37,6.63,0,0,0,0
20220913,Alabama,97.67,2.33,0,0,0,0
20220906,Alabama,97.26,2.74,0.5,0,0,0
20220830,Alabama,95.28,4.72,0.5,0,0,0
20220823,Alabama,94.58,5.42,0.5,0.15,0,0
20220816,Alabama,79.33,20.67,3.76,0.18,0,0
20220809,Alabama,80.15,19.85,3.73,0.38,0,0
20220802,Alabama,75.41,24.59,5.79,0.37,0,0
20220726,Alabama,70.28,29.72,7.56,0.37,0,0
20220719,Alabama,70.03,29.97,6,0.06,0,0
20220712,Alabama,60.49,39.51,8.87,0.06,0,0
20220705,Alabama,65.27,34.73,6.25,0.06,0,0
20220628,Alabama,51.52,48.48,1.86,0,0,0
20220621,Alabama,81.55,18.45,0.08,0,0,0
20220614,Alabama,99.18,0.82,0,0,0,0
20220607,Alabama,97.13,2.87,0,0,0,0
20220531,Alabama,96.15,3.85,0,0,0,0
20220524,Alabama,71.94,28.06,0,0,0,0
20220517,Alabama,69.06,30.94,0,0,0,0
20220510,Alabama,96.05,3.95,0,0,0,0
